,iso_code,year,percent
724,LTU,2014,12.84519425
725,LTU,2015,12.45503512
726,LTU,2016,11.82161558
727,LTU,2017,11.85328236
728,LUX,2010,12.95878369
729,LUX,2011,12.68599568
730,LUX,2012,11.77557609
731,LUX,2013,11.6053841
732,LUX,2014,10.85761339
733,LUX,2015,11.00665465
734,LUX,2016,10.31198129
735,LUX,2017,10.3646374
736,LVA,2010,17.11506451
737,LVA,2011,16.5726763
738,LVA,2012,15.59855973
739,LVA,2013,14.88430819
740,LVA,2014,14.8790851
741,LVA,2015,13.9682016
742,LVA,2016,13.44747197
743,LVA,2017,13.42645752
744,MAR,2010,29.6489603
745,MAR,2011,29.26656426
746,MAR,2012,27.79028358
747,MAR,2013,29.25951913
748,MAR,2014,29.94944999
749,MAR,2015,31.44008691
750,MAR,2016,32.93537423
751,MAR,2017,32.59354146
752,MDG,2010,22.66201053
753,MDG,2011,23.36285963
754,MDG,2012,22.71642527
755,MDG,2013,23.90916176
756,MDG,2014,23.51776666
757,MDG,2015,22.95040117
758,MDG,2016,22.89570824
759,MDG,2017,22.54228288
760,MDV,2010,11.30982939
761,MDV,2011,11.78963462
762,MDV,2012,11.1574823
763,MDV,2013,10.56967928
764,MDV,2014,9.921230863
765,MDV,2015,9.37394394
766,MDV,2016,7.972428925
767,MDV,2017,7.795820799
768,MEX,2010,26.365439
769,MEX,2011,27.74129679
770,MEX,2012,25.98165883
771,MEX,2013,25.44908967
772,MEX,2014,23.09968975
773,MEX,2015,22.13299585
774,MEX,2016,20.70682854
775,MEX,2017,20.92111579
776,MHL,2010,12.94670836
777,MHL,2011,12.93217057
778,MHL,2012,12.12353358
779,MHL,2013,11.87438859
780,MHL,2014,11.07022018
781,MHL,2015,10.83766846
782,MHL,2016,10.15200199
783,MHL,2017,10.24133222
784,MKD,2010,34.45696977
785,MKD,2011,38.0831195
786,MKD,2012,34.65781455
787,MKD,2013,32.01504863
788,MKD,2014,31.79054123
789,MKD,2015,31.97598914
790,MKD,2016,29.59326907
791,MKD,2017,29.72694451
792,MLI,2010,36.39765973
793,MLI,2011,35.14164437
794,MLI,2012,34.7002263
795,MLI,2013,32.30682338
796,MLI,2014,33.91611574
797,MLI,2015,41.92692766
798,MLI,2016,38.48039528
799,MLI,2017,38.52660616
800,MLT,2010,16.4493999
801,MLT,2011,16.64430398
802,MLT,2012,15.39716095
803,MLT,2013,15.28194422
804,MLT,2014,14.43540357
805,MLT,2015,14.72246254
