iso_code,year,oil_co2_per_capita,oil_co2,share_global_oil_co2,cumulative_oil_co2,share_global_cumulative_oil_co2,co2_growth_abs,co2_per_capita,co2,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_growth_prct,population,AvgYearlyTemp,AvgTempUncertainty
TKM,1865,0.004,0.002,0.17,0.009,0.13,0.0,0.013,0.007,0.0,0.054,0.0,-4.41,553265.0,14.2415,2.246
UKR,1865,0.0,0.004,0.27,0.013,0.19,-0.008,0.01,0.169,0.04,1.247,0.01,-4.42,16959340.0,7.179250000000001,1.01875
UZB,1865,0.002,0.004,0.32,0.016,0.25,-0.001,0.008,0.024,0.01,0.175,0.0,-4.42,2883721.0,11.66825,2.4003333333333337
ARM,1866,0.001,0.0,0.02,0.002,0.02,0.004,0.01,0.006,0.0,0.021,0.0,216.01,626923.0,8.228416666666666,1.166
AUT,1866,0.003,0.015,0.75,0.033,0.39,-1.759,0.816,3.594,0.81,106.89,1.1,-32.85,4405268.0,6.606916666666667,0.7878333333333335
AZE,1866,0.013,0.017,0.87,0.056,0.65,0.025,0.027,0.037,0.01,0.122,0.0,215.96,1340262.0,10.732333333333331,1.1623333333333334
BLR,1866,0.002,0.008,0.4,0.031,0.36,0.052,0.021,0.076,0.02,0.255,0.0,215.97,3589657.0,6.4025,0.8301666666666665
CAN,1866,0.019,0.07,3.57,0.194,2.28,0.224,0.346,1.242,0.28,7.141,0.07,21.94,3589177.0,-5.967916666666667,1.9309166666666664
DEU,1866,0.003,0.103,5.25,0.139,1.63,-0.561,1.651,62.907,14.11,853.382,8.76,-0.88,38095224.0,8.61125,0.7746666666666666
EST,1866,0.0,0.0,0.01,0.001,0.01,0.019,0.048,0.028,0.01,0.092,0.0,215.97,580659.0,5.007750000000001,0.7480000000000001
FRA,1866,0.002,0.062,3.19,0.586,6.87,4.258,1.417,53.56,12.01,925.933,9.51,8.64,37804516.0,13.053916666666668,1.1075
GEO,1866,0.0,0.001,0.04,0.003,0.04,0.008,0.007,0.011,0.0,0.038,0.0,216.01,1631748.0,7.848083333333334,1.0579166666666666
ITA,1866,0.001,0.037,1.88,0.066,0.77,0.205,0.054,1.477,0.33,7.35,0.08,16.14,27080708.0,12.857666666666663,0.7475833333333334
KAZ,1866,0.0,0.001,0.05,0.004,0.05,0.125,0.059,0.182,0.04,0.609,0.01,215.97,3094598.0,5.021833333333333,2.002666666666667
KGZ,1866,0.0,0.0,0.01,0.001,0.01,0.011,0.02,0.016,0.0,0.054,0.0,215.96,805949.0,2.815666666666667,2.381666666666667
LTU,1866,0.002,0.003,0.14,0.011,0.13,0.02,0.019,0.029,0.01,0.095,0.0,215.97,1530686.0,6.469083333333333,0.757
LVA,1866,0.001,0.001,0.07,0.005,0.06,0.013,0.015,0.018,0.0,0.061,0.0,215.98,1244896.0,5.722833333333334,0.7523333333333334
NLD,1866,0.008,0.029,1.5,0.084,0.99,0.37,1.21,4.217,0.95,85.1,0.87,9.62,3484602.0,9.864583333333334,0.8144999999999999
NOR,1866,0.002,0.004,0.19,0.004,0.04,0.048,0.31,0.52,0.12,6.28,0.06,10.08,1678136.0,-0.4681666666666667,1.2347499999999998
ROU,1866,0.002,0.018,0.94,0.088,1.03,0.004,0.002,0.018,0.0,0.088,0.0,25.0,8908442.0,9.012416666666669,0.96075
SWE,1866,0.001,0.004,0.19,0.011,0.13,0.033,0.277,1.114,0.25,11.769,0.12,3.05,4026151.0,1.8314166666666665,0.78275
TJK,1866,0.001,0.0,0.02,0.002,0.02,0.006,0.013,0.009,0.0,0.031,0.0,216.0,708295.0,3.477916666666667,2.2739166666666666
TKM,1866,0.005,0.003,0.15,0.012,0.14,0.016,0.042,0.023,0.01,0.078,0.0,215.96,558295.0,14.154000000000002,2.2319166666666668
UKR,1866,0.0,0.004,0.2,0.017,0.19,0.365,0.031,0.533,0.12,1.78,0.02,215.97,17117676.0,7.90675,0.8416666666666667
UZB,1866,0.002,0.005,0.27,0.022,0.25,0.051,0.026,0.075,0.02,0.25,0.0,215.97,2909415.0,11.749083333333331,2.451833333333333
ARM,1867,0.001,0.001,0.03,0.002,0.02,0.001,0.012,0.007,0.0,0.028,0.0,14.75,632529.0,8.276583333333333,1.51525
AUT,1867,0.004,0.018,0.92,0.051,0.49,1.319,1.108,4.913,1.03,111.803,1.09,36.7,4434135.0,6.086083333333334,0.991
AZE,1867,0.016,0.022,1.11,0.078,0.74,0.005,0.031,0.042,0.01,0.164,0.0,14.76,1352600.0,10.895666666666669,1.38375
BLR,1867,0.003,0.011,0.55,0.042,0.4,0.011,0.024,0.088,0.02,0.343,0.0,14.76,3622870.0,4.478666666666667,1.094666666666667
CAN,1867,0.021,0.077,3.87,0.271,2.58,0.352,0.439,1.594,0.33,8.735,0.09,28.32,3629449.0,-5.722999999999999,2.023833333333333
DEU,1867,0.005,0.187,9.41,0.326,3.1,6.247,1.8,69.154,14.47,922.537,9.03,9.93,38429338.0,7.791333333333334,0.983
EST,1867,0.0,0.0,0.01,0.001,0.01,0.004,0.054,0.032,0.01,0.124,0.0,14.76,587661.0,2.558666666666666,1.0468333333333333
FRA,1867,0.002,0.066,3.32,0.652,6.2,0.718,1.432,54.278,11.36,980.212,9.6,1.34,37907484.0,12.663333333333334,1.1945
GEO,1867,0.001,0.001,0.06,0.004,0.04,0.002,0.008,0.013,0.0,0.051,0.0,14.76,1646688.0,7.812333333333334,1.422666666666667
ITA,1867,0.002,0.059,2.95,0.125,1.18,-0.007,0.054,1.469,0.31,8.819,0.09,-0.5,27258252.0,12.862500000000002,0.9676666666666668
KAZ,1867,0.0,0.001,0.07,0.006,0.05,0.027,0.067,0.209,0.04,0.819,0.01,14.76,3122174.0,5.982833333333333,2.022333333333333
KGZ,1867,0.0,0.0,0.02,0.001,0.01,0.002,0.023,0.019,0.0,0.072,0.0,14.76,813254.0,3.7629166666666674,2.380416666666666
